From	To	Species	Gene Name
AKAP12	ENSG00000131016	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
KCNMB1	ENSG00000145936	Homo sapiens	potassium calcium-activated channel subfamily M regulatory beta subunit 1(KCNMB1)
LIF	ENSG00000128342	Homo sapiens	leukemia inhibitory factor(LIF)
TCTEX1D1	ENSG00000152760	Homo sapiens	Tctex1 domain containing 1(TCTEX1D1)
CDA	ENSG00000158825	Homo sapiens	cytidine deaminase(CDA)
CLEC6A	ENSG00000205846	Homo sapiens	C-type lectin domain family 6 member A(CLEC6A)
PLAG1	ENSG00000181690	Homo sapiens	PLAG1 zinc finger(PLAG1)
BMP4	ENSG00000125378	Homo sapiens	bone morphogenetic protein 4(BMP4)
FCER1A	ENSG00000179639	Homo sapiens	Fc fragment of IgE receptor Ia(FCER1A)
BMP3	ENSG00000152785	Homo sapiens	bone morphogenetic protein 3(BMP3)
AGBL3	ENSG00000146856	Homo sapiens	ATP/GTP binding protein like 3(AGBL3)
BMP2	ENSG00000125845	Homo sapiens	bone morphogenetic protein 2(BMP2)
LGALS3	ENSG00000131981	Homo sapiens	galectin 3(LGALS3)
LGALS2	ENSG00000100079	Homo sapiens	galectin 2(LGALS2)
SLAMF6	ENSG00000162739	Homo sapiens	SLAM family member 6(SLAMF6)
NPL	ENSG00000135838	Homo sapiens	N-acetylneuraminate pyruvate lyase(NPL)
SLAMF8	ENSG00000158714	Homo sapiens	SLAM family member 8(SLAMF8)
CDC20	ENSG00000117399	Homo sapiens	cell division cycle 20(CDC20)
MYOZ3	ENSG00000164591	Homo sapiens	myozenin 3(MYOZ3)
SLAMF1	ENSG00000117090	Homo sapiens	signaling lymphocytic activation molecule family member 1(SLAMF1)
S100A12	ENSG00000163221	Homo sapiens	S100 calcium binding protein A12(S100A12)
LAMA2	ENSG00000196569	Homo sapiens	laminin subunit alpha 2(LAMA2)
SFRP5	ENSG00000120057	Homo sapiens	secreted frizzled related protein 5(SFRP5)
BTLA	ENSG00000186265	Homo sapiens	B and T lymphocyte associated(BTLA)
GGT5	ENSG00000099998	Homo sapiens	gamma-glutamyltransferase 5(GGT5)
SFRP2	ENSG00000145423	Homo sapiens	secreted frizzled related protein 2(SFRP2)
NOTCH4	ENSG00000204301	Homo sapiens	notch 4(NOTCH4)
IL5RA	ENSG00000091181	Homo sapiens	interleukin 5 receptor subunit alpha(IL5RA)
CLEC7A	ENSG00000172243	Homo sapiens	C-type lectin domain family 7 member A(CLEC7A)
ENG	ENSG00000106991	Homo sapiens	endoglin(ENG)
CRYM	ENSG00000103316	Homo sapiens	crystallin mu(CRYM)
BMP5	ENSG00000112175	Homo sapiens	bone morphogenetic protein 5(BMP5)
SLC46A2	ENSG00000119457	Homo sapiens	solute carrier family 46 member 2(SLC46A2)
PZP	ENSG00000126838	Homo sapiens	PZP, alpha-2-macroglobulin like(PZP)
GYPE	ENSG00000197465	Homo sapiens	glycophorin E (MNS blood group)(GYPE)
SLC16A10	ENSG00000112394	Homo sapiens	solute carrier family 16 member 10(SLC16A10)
TBX21	ENSG00000073861	Homo sapiens	T-box 21(TBX21)
FCRL2	ENSG00000132704	Homo sapiens	Fc receptor like 2(FCRL2)
FCRL1	ENSG00000163534	Homo sapiens	Fc receptor like 1(FCRL1)
FCRL6	ENSG00000181036	Homo sapiens	Fc receptor like 6(FCRL6)
FCRL5	ENSG00000143297	Homo sapiens	Fc receptor like 5(FCRL5)
FCRL3	ENSG00000160856	Homo sapiens	Fc receptor like 3(FCRL3)
CKB	ENSG00000166165	Homo sapiens	creatine kinase B(CKB)
ASGR1	ENSG00000141505	Homo sapiens	asialoglycoprotein receptor 1(ASGR1)
ASGR2	ENSG00000161944	Homo sapiens	asialoglycoprotein receptor 2(ASGR2)
SCT	ENSG00000070031	Homo sapiens	secretin(SCT)
SH2D1A	ENSG00000183918	Homo sapiens	SH2 domain containing 1A(SH2D1A)
TNFRSF11B	ENSG00000164761	Homo sapiens	TNF receptor superfamily member 11b(TNFRSF11B)
TNFRSF11A	ENSG00000141655	Homo sapiens	TNF receptor superfamily member 11a(TNFRSF11A)
CALN1	ENSG00000183166	Homo sapiens	calneuron 1(CALN1)
NOS3	ENSG00000164867	Homo sapiens	nitric oxide synthase 3(NOS3)
HHIP	ENSG00000164161	Homo sapiens	hedgehog interacting protein(HHIP)
XCR1	ENSG00000173578	Homo sapiens	X-C motif chemokine receptor 1(XCR1)
SARDH	ENSG00000123453	Homo sapiens	sarcosine dehydrogenase(SARDH)
SH2D1B	ENSG00000198574	Homo sapiens	SH2 domain containing 1B(SH2D1B)
NT5E	ENSG00000135318	Homo sapiens	5'-nucleotidase ecto(NT5E)
RXFP1	ENSG00000171509	Homo sapiens	relaxin/insulin like family peptide receptor 1(RXFP1)
RXFP2	ENSG00000133105	Homo sapiens	relaxin/insulin like family peptide receptor 2(RXFP2)
PSG2	ENSG00000242221	Homo sapiens	pregnancy specific beta-1-glycoprotein 2(PSG2)
LGALS12	ENSG00000133317	Homo sapiens	galectin 12(LGALS12)
CYYR1	ENSG00000166265	Homo sapiens	cysteine and tyrosine rich 1(CYYR1)
CLC	ENSG00000105205	Homo sapiens	Charcot-Leyden crystal galectin(CLC)
SDS	ENSG00000135094	Homo sapiens	serine dehydratase(SDS)
GADD45G	ENSG00000130222	Homo sapiens	growth arrest and DNA damage inducible gamma(GADD45G)
GPA33	ENSG00000143167	Homo sapiens	glycoprotein A33(GPA33)
SGCD	ENSG00000170624	Homo sapiens	sarcoglycan delta(SGCD)
FCRLA	ENSG00000132185	Homo sapiens	Fc receptor like A(FCRLA)
ADAM12	ENSG00000148848	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
BCAT1	ENSG00000060982	Homo sapiens	branched chain amino acid transaminase 1(BCAT1)
XKRX	ENSG00000182489	Homo sapiens	XK related, X-linked(XKRX)
EHF	ENSG00000135373	Homo sapiens	ETS homologous factor(EHF)
LIX1	ENSG00000145721	Homo sapiens	limb and CNS expressed 1(LIX1)
ANKRD31	ENSG00000145700	Homo sapiens	ankyrin repeat domain 31(ANKRD31)
MEFV	ENSG00000103313	Homo sapiens	Mediterranean fever(MEFV)
FAT4	ENSG00000196159	Homo sapiens	FAT atypical cadherin 4(FAT4)
UGT8	ENSG00000174607	Homo sapiens	UDP glycosyltransferase 8(UGT8)
THBS1	ENSG00000137801	Homo sapiens	thrombospondin 1(THBS1)
THBS2	ENSG00000186340	Homo sapiens	thrombospondin 2(THBS2)
DTNA	ENSG00000134769	Homo sapiens	dystrobrevin alpha(DTNA)
DFNA5	ENSG00000105928	Homo sapiens	DFNA5, deafness associated tumor suppressor(DFNA5)
IL18R1	ENSG00000115604	Homo sapiens	interleukin 18 receptor 1(IL18R1)
RBM24	ENSG00000112183	Homo sapiens	RNA binding motif protein 24(RBM24)
TBXAS1	ENSG00000059377	Homo sapiens	thromboxane A synthase 1(TBXAS1)
SETBP1	ENSG00000152217	Homo sapiens	SET binding protein 1(SETBP1)
ATP1A3	ENSG00000105409	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)
MACROD2	ENSG00000172264	Homo sapiens	MACRO domain containing 2(MACROD2)
FZD2	ENSG00000180340	Homo sapiens	frizzled class receptor 2(FZD2)
SAMD3	ENSG00000164483	Homo sapiens	sterile alpha motif domain containing 3(SAMD3)
LCN10	ENSG00000187922	Homo sapiens	lipocalin 10(LCN10)
DKK2	ENSG00000155011	Homo sapiens	dickkopf WNT signaling pathway inhibitor 2(DKK2)
DKK3	ENSG00000050165	Homo sapiens	dickkopf WNT signaling pathway inhibitor 3(DKK3)
COL19A1	ENSG00000082293	Homo sapiens	collagen type XIX alpha 1 chain(COL19A1)
DKK1	ENSG00000107984	Homo sapiens	dickkopf WNT signaling pathway inhibitor 1(DKK1)
LAYN	ENSG00000204381	Homo sapiens	layilin(LAYN)
SAMD9	ENSG00000205413	Homo sapiens	sterile alpha motif domain containing 9(SAMD9)
ABCC3	ENSG00000108846	Homo sapiens	ATP binding cassette subfamily C member 3(ABCC3)
SLC15A3	ENSG00000110446	Homo sapiens	solute carrier family 15 member 3(SLC15A3)
DNAJC5B	ENSG00000147570	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C5 beta(DNAJC5B)
CRABP2	ENSG00000143320	Homo sapiens	cellular retinoic acid binding protein 2(CRABP2)
TLR1	ENSG00000174125	Homo sapiens	toll like receptor 1(TLR1)
TLR2	ENSG00000137462	Homo sapiens	toll like receptor 2(TLR2)
TLR3	ENSG00000164342	Homo sapiens	toll like receptor 3(TLR3)
TLR4	ENSG00000136869	Homo sapiens	toll like receptor 4(TLR4)
CBX2	ENSG00000173894	Homo sapiens	chromobox 2(CBX2)
KLHL4	ENSG00000102271	Homo sapiens	kelch like family member 4(KLHL4)
ANKRD55	ENSG00000164512	Homo sapiens	ankyrin repeat domain 55(ANKRD55)
TLR7	ENSG00000196664	Homo sapiens	toll like receptor 7(TLR7)
TLR8	ENSG00000101916	Homo sapiens	toll like receptor 8(TLR8)
IL31RA	ENSG00000164509	Homo sapiens	interleukin 31 receptor A(IL31RA)
TIAM1	ENSG00000156299	Homo sapiens	T-cell lymphoma invasion and metastasis 1(TIAM1)
RBM11	ENSG00000185272	Homo sapiens	RNA binding motif protein 11(RBM11)
PID1	ENSG00000153823	Homo sapiens	phosphotyrosine interaction domain containing 1(PID1)
BCL2A1	ENSG00000140379	Homo sapiens	BCL2 related protein A1(BCL2A1)
SOCS1	ENSG00000185338	Homo sapiens	suppressor of cytokine signaling 1(SOCS1)
LRP1B	ENSG00000168702	Homo sapiens	LDL receptor related protein 1B(LRP1B)
TNFRSF17	ENSG00000048462	Homo sapiens	TNF receptor superfamily member 17(TNFRSF17)
TRAT1	ENSG00000163519	Homo sapiens	T cell receptor associated transmembrane adaptor 1(TRAT1)
PKD2L2	ENSG00000078795	Homo sapiens	polycystin 2 like 2, transient receptor potential cation channel(PKD2L2)
LYNX1	ENSG00000180155	Homo sapiens	Ly6/neurotoxin 1(LYNX1)
RIPK3	ENSG00000129465	Homo sapiens	receptor interacting serine/threonine kinase 3(RIPK3)
KIR2DL1	ENSG00000125498	Homo sapiens	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1(KIR2DL1)
COL24A1	ENSG00000171502	Homo sapiens	collagen type XXIV alpha 1 chain(COL24A1)
KIR2DL3	ENSG00000243772	Homo sapiens	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3(KIR2DL3)
KIR2DL4	ENSG00000189013	Homo sapiens	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4(KIR2DL4)
WNT5A	ENSG00000114251	Homo sapiens	Wnt family member 5A(WNT5A)
TSHZ2	ENSG00000182463	Homo sapiens	teashirt zinc finger homeobox 2(TSHZ2)
LST1	ENSG00000204482	Homo sapiens	leukocyte specific transcript 1(LST1)
PODN	ENSG00000174348	Homo sapiens	podocan(PODN)
WNT5B	ENSG00000111186	Homo sapiens	Wnt family member 5B(WNT5B)
ITLN1	ENSG00000179914	Homo sapiens	intelectin 1(ITLN1)
SOX5	ENSG00000134532	Homo sapiens	SRY-box 5(SOX5)
KLRK1	ENSG00000213809	Homo sapiens	killer cell lectin like receptor K1(KLRK1)
MAP4K1	ENSG00000104814	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 1(MAP4K1)
TPRG1	ENSG00000188001	Homo sapiens	tumor protein p63 regulated 1(TPRG1)
C10orf105	ENSG00000214688	Homo sapiens	chromosome 10 open reading frame 105(C10orf105)
CHIT1	ENSG00000133063	Homo sapiens	chitinase 1(CHIT1)
PAQR5	ENSG00000137819	Homo sapiens	progestin and adipoQ receptor family member 5(PAQR5)
HOXA1	ENSG00000105991	Homo sapiens	homeobox A1(HOXA1)
HOXA3	ENSG00000105997	Homo sapiens	homeobox A3(HOXA3)
PLCH2	ENSG00000149527	Homo sapiens	phospholipase C eta 2(PLCH2)
B3GNT7	ENSG00000156966	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7(B3GNT7)
HOXA6	ENSG00000106006	Homo sapiens	homeobox A6(HOXA6)
CNR1	ENSG00000118432	Homo sapiens	cannabinoid receptor 1(CNR1)
MSLN	ENSG00000102854	Homo sapiens	mesothelin(MSLN)
HOXA7	ENSG00000122592	Homo sapiens	homeobox A7(HOXA7)
CNR2	ENSG00000188822	Homo sapiens	cannabinoid receptor 2(CNR2)
SFTPD	ENSG00000133661	Homo sapiens	surfactant protein D(SFTPD)
RUNX3	ENSG00000020633	Homo sapiens	runt related transcription factor 3(RUNX3)
ITK	ENSG00000113263	Homo sapiens	IL2 inducible T-cell kinase(ITK)
HAVCR1	ENSG00000113249	Homo sapiens	hepatitis A virus cellular receptor 1(HAVCR1)
NFE2	ENSG00000123405	Homo sapiens	nuclear factor, erythroid 2(NFE2)
CPNE5	ENSG00000124772	Homo sapiens	copine 5(CPNE5)
MAFB	ENSG00000204103	Homo sapiens	MAF bZIP transcription factor B(MAFB)
EPHX4	ENSG00000172031	Homo sapiens	epoxide hydrolase 4(EPHX4)
HRASLS2	ENSG00000133328	Homo sapiens	HRAS like suppressor 2(HRASLS2)
CPNE7	ENSG00000178773	Homo sapiens	copine 7(CPNE7)
DYTN	ENSG00000232125	Homo sapiens	dystrotelin(DYTN)
ECSCR	ENSG00000279686	Homo sapiens	endothelial cell surface expressed chemotaxis and apoptosis regulator(ECSCR)
ECSCR	ENSG00000249751	Homo sapiens	endothelial cell surface expressed chemotaxis and apoptosis regulator(ECSCR)
WIF1	ENSG00000156076	Homo sapiens	WNT inhibitory factor 1(WIF1)
SCARA5	ENSG00000168079	Homo sapiens	scavenger receptor class A member 5(SCARA5)
IL3RA	ENSG00000185291	Homo sapiens	interleukin 3 receptor subunit alpha(IL3RA)
KCTD12	ENSG00000178695	Homo sapiens	potassium channel tetramerization domain containing 12(KCTD12)
UTY	ENSG00000183878	Homo sapiens	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked(UTY)
ZNF80	ENSG00000174255	Homo sapiens	zinc finger protein 80(ZNF80)
IL21R	ENSG00000103522	Homo sapiens	interleukin 21 receptor(IL21R)
FASLG	ENSG00000117560	Homo sapiens	Fas ligand(FASLG)
LGR6	ENSG00000133067	Homo sapiens	leucine rich repeat containing G protein-coupled receptor 6(LGR6)
HPSE	ENSG00000173083	Homo sapiens	heparanase(HPSE)
LTF	ENSG00000012223	Homo sapiens	lactotransferrin(LTF)
CNTNAP2	ENSG00000174469	Homo sapiens	contactin associated protein-like 2(CNTNAP2)
CALCRL	ENSG00000064989	Homo sapiens	calcitonin receptor like receptor(CALCRL)
PLCB1	ENSG00000182621	Homo sapiens	phospholipase C beta 1(PLCB1)
SLCO5A1	ENSG00000137571	Homo sapiens	solute carrier organic anion transporter family member 5A1(SLCO5A1)
LTB	ENSG00000227507	Homo sapiens	lymphotoxin beta(LTB)
LTA	ENSG00000226979	Homo sapiens	lymphotoxin alpha(LTA)
ATP8B4	ENSG00000104043	Homo sapiens	ATPase phospholipid transporting 8B4 (putative)(ATP8B4)
EGR1	ENSG00000120738	Homo sapiens	early growth response 1(EGR1)
RAMP3	ENSG00000122679	Homo sapiens	receptor activity modifying protein 3(RAMP3)
BTNL8	ENSG00000113303	Homo sapiens	butyrophilin like 8(BTNL8)
EGR2	ENSG00000122877	Homo sapiens	early growth response 2(EGR2)
CYP11A1	ENSG00000140459	Homo sapiens	cytochrome P450 family 11 subfamily A member 1(CYP11A1)
MPP2	ENSG00000108852	Homo sapiens	membrane palmitoylated protein 2(MPP2)
LDB2	ENSG00000169744	Homo sapiens	LIM domain binding 2(LDB2)
DAPK2	ENSG00000035664	Homo sapiens	death associated protein kinase 2(DAPK2)
NCR1	ENSG00000189430	Homo sapiens	natural cytotoxicity triggering receptor 1(NCR1)
CTSW	ENSG00000172543	Homo sapiens	cathepsin W(CTSW)
NCR3	ENSG00000204475	Homo sapiens	natural cytotoxicity triggering receptor 3(NCR3)
CTSK	ENSG00000143387	Homo sapiens	cathepsin K(CTSK)
CTSG	ENSG00000100448	Homo sapiens	cathepsin G(CTSG)
MELK	ENSG00000165304	Homo sapiens	maternal embryonic leucine zipper kinase(MELK)
CD244	ENSG00000122223	Homo sapiens	CD244 molecule(CD244)
WNT16	ENSG00000002745	Homo sapiens	Wnt family member 16(WNT16)
CPM	ENSG00000135678	Homo sapiens	carboxypeptidase M(CPM)
SPOCK2	ENSG00000107742	Homo sapiens	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2(SPOCK2)
LUM	ENSG00000139329	Homo sapiens	lumican(LUM)
CD248	ENSG00000174807	Homo sapiens	CD248 molecule(CD248)
CD247	ENSG00000198821	Homo sapiens	CD247 molecule(CD247)
RSAD2	ENSG00000134321	Homo sapiens	radical S-adenosyl methionine domain containing 2(RSAD2)
PLVAP	ENSG00000130300	Homo sapiens	plasmalemma vesicle associated protein(PLVAP)
TPM2	ENSG00000198467	Homo sapiens	tropomyosin 2 (beta)(TPM2)
SCARF1	ENSG00000074660	Homo sapiens	scavenger receptor class F member 1(SCARF1)
LINGO2	ENSG00000174482	Homo sapiens	leucine rich repeat and Ig domain containing 2(LINGO2)
NPAS1	ENSG00000130751	Homo sapiens	neuronal PAS domain protein 1(NPAS1)
UGT1A8	ENSG00000242366	Homo sapiens	UDP glucuronosyltransferase family 1 member A8(UGT1A8)
KRT5	ENSG00000186081	Homo sapiens	keratin 5(KRT5)
RASGRP3	ENSG00000152689	Homo sapiens	RAS guanyl releasing protein 3(RASGRP3)
KRT7	ENSG00000135480	Homo sapiens	keratin 7(KRT7)
RASGRP1	ENSG00000172575	Homo sapiens	RAS guanyl releasing protein 1(RASGRP1)
SYN3	ENSG00000185666	Homo sapiens	synapsin III(SYN3)
EPX	ENSG00000121053	Homo sapiens	eosinophil peroxidase(EPX)
RASGRP2	ENSG00000068831	Homo sapiens	RAS guanyl releasing protein 2(RASGRP2)
KRT1	ENSG00000167768	Homo sapiens	keratin 1(KRT1)
SYNPO	ENSG00000171992	Homo sapiens	synaptopodin(SYNPO)
ERG	ENSG00000157554	Homo sapiens	ERG, ETS transcription factor(ERG)
LTK	ENSG00000062524	Homo sapiens	leukocyte receptor tyrosine kinase(LTK)
CR2	ENSG00000117322	Homo sapiens	complement C3d receptor 2(CR2)
TNXB	ENSG00000168477	Homo sapiens	tenascin XB(TNXB)
B3GALT2	ENSG00000162630	Homo sapiens	beta-1,3-galactosyltransferase 2(B3GALT2)
BAALC	ENSG00000164929	Homo sapiens	brain and acute leukemia, cytoplasmic(BAALC)
RGS17	ENSG00000091844	Homo sapiens	regulator of G-protein signaling 17(RGS17)
RGS13	ENSG00000127074	Homo sapiens	regulator of G-protein signaling 13(RGS13)
AMPD1	ENSG00000116748	Homo sapiens	adenosine monophosphate deaminase 1(AMPD1)
SLC17A3	ENSG00000124564	Homo sapiens	solute carrier family 17 member 3(SLC17A3)
KCNN3	ENSG00000143603	Homo sapiens	potassium calcium-activated channel subfamily N member 3(KCNN3)
CYP4F3	ENSG00000186529	Homo sapiens	cytochrome P450 family 4 subfamily F member 3(CYP4F3)
SYNM	ENSG00000182253	Homo sapiens	synemin(SYNM)
MGST1	ENSG00000008394	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)
